#,Time,%Passes,Change,Test,Pass,Partial,Fail,Untested
0,Sun Dec 03 02:51:04 EST 2017,0,0,Assignment6Suite, , ,EfficiencyTest1- ShortestPathTest0- ShortestPathTest1- ShortestPathTest2- ShortestPathTest3- ShortestPathTest4- ShortestPathTest5- , ,
1,Sun Dec 03 02:52:02 EST 2017,0,0,Assignment6Suite, , ,EfficiencyTest1 ShortestPathTest0 ShortestPathTest1 ShortestPathTest2 ShortestPathTest3 ShortestPathTest4 ShortestPathTest5 , ,
2,Sun Dec 03 02:54:13 EST 2017,14,14,Assignment6Suite,EfficiencyTest1+ , ,ShortestPathTest0 ShortestPathTest1 ShortestPathTest2 ShortestPathTest3 ShortestPathTest4 ShortestPathTest5 , ,
3,Sun Dec 03 03:18:45 EST 2017,14,0,Assignment6Suite,EfficiencyTest1 , ,ShortestPathTest0 ShortestPathTest1 ShortestPathTest2 ShortestPathTest3 ShortestPathTest4 ShortestPathTest5 , ,
4,Sun Dec 03 03:22:44 EST 2017,28,14,Assignment6Suite,EfficiencyTest1 ShortestPathTest0+ , ,ShortestPathTest1 ShortestPathTest2 ShortestPathTest3 ShortestPathTest4 ShortestPathTest5 , ,
5,Sun Dec 03 04:38:05 EST 2017,14,-14,Assignment6Suite,EfficiencyTest1 , ,ShortestPathTest0- ShortestPathTest1 ShortestPathTest2 ShortestPathTest3 ShortestPathTest4 ShortestPathTest5 , ,
6,Sun Dec 03 05:23:24 EST 2017,57,43,Assignment6Suite,EfficiencyTest1 ShortestPathTest0+ ShortestPathTest1+ ShortestPathTest2+ , ,ShortestPathTest3 ShortestPathTest4 ShortestPathTest5 , ,
7,Sun Dec 03 17:46:07 EST 2017,57,0,Assignment6Suite,ShortestPathTest1 ShortestPathTest2 ShortestPathTest3+ ShortestPathTest4+ , ,EfficiencyTest1- ShortestPathTest0- ShortestPathTest5 , ,
8,Sun Dec 03 18:08:42 EST 2017,57,0,Assignment6Suite,ShortestPathTest1 ShortestPathTest2 ShortestPathTest3 ShortestPathTest4 , ,EfficiencyTest1 ShortestPathTest0 ShortestPathTest5 , ,
9,Sun Dec 03 18:14:32 EST 2017,57,0,Assignment6Suite,ShortestPathTest1 ShortestPathTest2 ShortestPathTest3 ShortestPathTest4 , ,EfficiencyTest1 ShortestPathTest0 ShortestPathTest5 , ,
10,Sun Dec 03 18:19:38 EST 2017,57,0,Assignment6Suite,ShortestPathTest1 ShortestPathTest2 ShortestPathTest3 ShortestPathTest4 , ,EfficiencyTest1 ShortestPathTest0 ShortestPathTest5 , ,
11,Sun Dec 03 18:36:42 EST 2017,66,0,Assignment6Suite,ShortestPathTest1 ShortestPathTest2 ShortestPathTest3 ShortestPathTest4 , ,ShortestPathTest0 ShortestPathTest5 , ,
12,Sun Dec 03 18:47:48 EST 2017,0,-66,Assignment6Suite, , ,ShortestPathTest0 ShortestPathTest1- ShortestPathTest2- ShortestPathTest3- ShortestPathTest4- ShortestPathTest5 , ,
13,Sun Dec 03 18:48:12 EST 2017,0,0,Assignment6Suite, , ,ShortestPathTest0 ShortestPathTest1 ShortestPathTest2 ShortestPathTest3 ShortestPathTest4 ShortestPathTest5 , ,
14,Sun Dec 03 18:49:04 EST 2017,66,66,Assignment6Suite,ShortestPathTest1+ ShortestPathTest2+ ShortestPathTest3+ ShortestPathTest4+ , ,ShortestPathTest0 ShortestPathTest5 , ,
15,Sun Dec 03 19:06:15 EST 2017,33,-33,Assignment6Suite,ShortestPathTest2 ShortestPathTest3 , ,ShortestPathTest0 ShortestPathTest1- ShortestPathTest4- ShortestPathTest5 , ,
16,Sun Dec 03 19:40:10 EST 2017,16,-17,Assignment6Suite,ShortestPathTest1+ , ,ShortestPathTest0 ShortestPathTest2- ShortestPathTest3- ShortestPathTest4 ShortestPathTest5 , ,
17,Mon Dec 04 10:15:31 EST 2017,100,84,Assignment6Suite,ShortestPathTest0+ ShortestPathTest1 ShortestPathTest2+ ShortestPathTest3+ ShortestPathTest4+ ShortestPathTest5+ , , , ,
